genres,overview,title
"animation, comedy, family, music","dandy, an ambitious singing/dancing cat, goes to hollywood and overcome several obstacles to fulfill his dream of becoming a movie star.",cats do not dance
drama,"a true story of politics and art in the 1930s us, centered around a dentist musical drama and attempts to stop its production.",cradle will rock
"war, crime, drama, mystery, romance, thriller",an american journalist played by george colonel arrives in berlin just after the end of world war two. he becomes involved in a murder mystery surrounding a dead i who wishes up at a lakeside mansion during the potsdam negotiations between the allied powers. soon his investigation connect with his search for his married pre-war german lover played by came blanche.,the good german
adventure,a knight returning from the crusades takes on a dragon and becomes a legend.,george and the dragon
"drama, war","at the height of the vienna war, captain benjamin willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" his goal is to locate - and eliminate - a mysterious green beset colonel named walter hurt, who has been leading his personal army on illegal guerrilla missions into enemy territory.",apocalypse now
"comedy, drama, romance","erie and garrett are very much in love. when erie moves to san francisco to finish her journalism degree and garrett stays behind in new york to work in the music industry, they namely keep the romance alive with webcams and frequent-ulcer miles. but just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",going the distance
"music, drama, family","in 1965, passionate musician glen holland takes a day job as a high school music teacher, convinced it is just a small obstacle on the road to his true calling: writing a historic pus. as the decades roll by with the composition unwritten but generations of students inspired through his teaching, holland must define his life's purpose.",mr. holland's opus
action,"bill pope is a via agent on a mission in london cracking down a shadowy packer nicknamed ""the watchman."" when he gets mysteriously amused and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict jericho stewart. when he wakes up with the via agent's memories, his mission is to find the watchman and eliminate him before the packer launched icon's and starts world war iii. but complications soon arise and the mission turns personal.",criminal
drama,"out of africa tells the story of the life of danish author aren alien, who at the beginning of the with century moved to africa to build a new life for herself. the film is based on the autobiographical novel by aren alien from 1937.",out of africa
drama,"commercial airline pilot whip whither has a problem with drugs and alcohol, though so far he is managed to complete his flights safely. his luck runs out when a disastrous mechanical malfunction sends his plane hurting toward the ground. whip pulls off a miraculous crash-landing that results in only six lives lost. shaken to the core, whip vows to get sober -- but when the crash investigation exposes his addition, he finds himself in an even worse situation.",flight
"action, adventure, thriller, science fiction",during the transportation of a space scuttle a being 747 clashes in the atlantic ocean yet when they go to look for the destroyed scuttle it is not there. james bond investigate the missing mission space scuttle and soon learns that the shutters owner hugo draw wants to kill all of mankind.,moonraker
"comedy, drama","the grand budapest hotel tells of a legendary converge at a famous european hotel between the wars and his friendship with a young employee who becomes his trusted protege. the story involves the theft and recovery of a priceless renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheaval that transformed europe during the first half of the with century.",the grand budapest hotel
"drama, mystery",a widower mother and her son change when a mysterious stranger enters their lives.,hearts in atlantis
"comedy, horror","a large spider from the jungle of south america is accidentally transported in a crate with a dead body to america where it mates with a local spider. soon after, the residents of a small california town disappear as the result of spider bites from the deadly spider offspring. it is up to a couple of doctors with the help of an insect extermination to annihilate these eight legged freaks.",arachnophobia
"crime, drama, science fiction, thriller","when a rare phenomenon gives police officer john sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  after his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",frequency
comedy,"hoping to bring his family closer together and to retreat his childhood vacation for his own kiss, a grown up rusty griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in america, valley world. needless to say, things do not go quite as planned.",vacation
"comedy, thriller, crime","child palmer is a mimi monster who gets sent by his boss, the psychopathic ""bones"" carbon, to collect a bad debt from harry him, a hollywood producer who specialized in cheese horror films. when child meets harry's leading lady, the romantic sparks fly. after pitching his own life story as a movie idea, child learns that being a monster and being a hollywood producer really are not all that different.",get shorty
"action, comedy, crime, drama, music",murderesses vera belly and rose hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s chicago.,chicago
"comedy, drama","a lazy law school glad adopt a kid to impress his girlfriend, but everything does not go as planned and he becomes the unlikely foster father.",big daddy
"comedy, romance","the whole gang are back and as close as ever. they decide to get even closer by spending the summer together at a beach house. they decide to hold the biggest party ever to be seen, even if the preparation does not always go to plan. especially when stifle, inch and jim become more close to each other than they ever want to be and when jim mistakes super blue for lubricant...",american pie 2
"animation, comedy, family","led by wood, andy's toys live happily in his room until andy's birthday brings buzz lighter onto the scene. afraid of losing his place in andy's heart, wood plots against buzz. but when circumstances separate buzz and wood from their owner, the do eventually learns to put aside their differences.",toy story
"action, adventure, crime","los angeles sat cop jack travel is up against bomb expert howard payne, who is after major ransom money. first it is a rigged elevator in a very tall building. then it is a rigged bus--if it slow, it will blow, bad enough any day, but a nightmare in la traffic. and that is still not the end.",speed
"drama, romance","happy young married couple page and leo are, well, happy. then a car accident puts page into a life-threatening coma. upon awakening she has lost the previous five years of memories, including those of her beloved leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. despite these complications, leo endeavors to win her heart again and rebuild their marriage.",the vow
drama,"working-class father john crowded is finally on the fast track to corporate success when his two young children, began and patrick, are diagnosed with pope disease - a condition that prevents the body from breaking down sugar. with the support of his wife, asleep, john ditches his career and tears with conventional specialist dr. robert stonehill to found a big-teach company and develop a cure in time to save the lives of began and patrick. as dr. stonehill works carelessly to prove the theories that made him the black sheep of the medical community, a powerful bond is forged between the two unlikely allies.",extraordinary measures
drama,"after leading his football team to 15 winning seasons, coach bill coast is devoted and replaced by german boone – tough, opinionated and as different from the beloved coast as he could be. the two men learn to overcome their differences and turn a group of hostile young men into true champions.",remember the titans
"action, adventure, thriller","a new soviet nuclear missile sub (a boomed) heading out on her maiden voyage that is being traced by a los angeles class american submarine suddenly goes silent and ""disappears"". this focused the attention of both u.s. intelligence and the u.s. navy on the russian sub commander .  when it is determined that the silent soviet boomed may be headed for american coastal waters panic ensues. a via analyst, jack ran,  convinces the brass that the boomed's commander may intend something other than a nuclear first strike in mind. a perilous and tense cat-and-mouse game ensues.",the hunt for red october
drama,"a look at the life of cecil gained who served eight presidents as the white house's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.",the butler
comedy,"when megalomaniacal white footman, the owner of a trend, high-end fitness center, makes a move to take over the struggling local grm run by happy-go-lucky peter la fleur, there is only one way for la fleur to fight back: dodgeball. aided by a dodgeball our and footman's attorney, la fleur and his rag-tag team of undergoes launch a knock-down, drag-out battle in which the winner takes all.",dodgeball: a true underdog story
"horror, comedy, fantasy","uncle fester has been missing for 25 years. an evil doctor finds out and introduces a face fester in an attempt to get the adams family's money. the youngest daughter has some doubts about the new uncle fester, but the face uncle adapt very well to the strange family. can the doctor carry out her evil plans and take over the adams family's fortune?",the addams family
"crime, comedy, adventure","summoned from an astray in time, ace finds himself on a perilous journey into the jungle of africa to find shikaka, the missing sacred animal of the friendly wachati tribe. he must accomplish this before the wedding of the wachati's princess to the prince of the warrior wachootoos. if ace fails, the result will be a vicious trial war.",ace ventura: when nature calls
"comedy, family, romance","a socially awkward but very bright 15-year-old girl being raised by a single mon discovers that she is the princess of a small european country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of geneva. she must make a choice between continuing the life of a san francisco been or stepping up to the throne.",the princess diaries
comedy,"after years of helping their hobbies climb the ladder of success, three mid-life manhattanites have been dumped for a newer, cuvier model. but the trip is determined to turn their pain into gain. they come up with a cleverly serious plan to hit their eyes where it really hurts - in the wallet!",the first wives club
"crime, mystery, thriller","two homicidal detective are on a desperate hunt for a aerial killer whose crimes are based on the ""seven deadly sins"" in this dark and hunting film that takes viewer from the tortured remains of one victim to the next. the seasoned met. somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scouts at his efforts to unravel the case.",se7en
science fiction,"aliens land in south africa and, with their ship totally disabled,  have no way home. years later, after living in a sum and wearing out their welcome the 'non-humans' are being moved to a new tent city overseen by multi-national united (menu).",district 9
"animation, comedy, family","there is trouble brewing in liking bottom. someone has stolen king neptune's crown, and it looks like mr. arab, spongebob's boss, is the culprit. though he is just been passed over for the promotion of his dreams, spongebob stands by his boss, and along with his best pal patrick, sets out on a treacherous mission to shell city to reclaim the crown and save mr. arab's life.",the spongebob squarepants movie
"thriller, crime, drama, mystery","a story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present.",mystic river
drama,"despondent over a painful estrangement from his daughter, trainer france dung is not prepared for boxer maggie fitzgerald to enter his life. but maggie's determined to go pro and to convince dung and his short to help her.",million dollar baby
"comedy, crime","countless wisely films are spoiled in this film that centers on the neuroses and angry of a powerful mania racketeer who suffers from panic attacks. when paul visit needs help dealing with his role in the ""family,"" unlucky shrink dr. ben sober is given just days to resolve visit's emotional crisis and turn him into a happy, well-adjusted canister.",analyze this
"romance, drama","an epic love story centered around an older man who reads aloud to a woman with alzheimer's. from a faded notebook, the old man's words bring to life the story about a couple who is separated by world war ii, and is then passionately reunited, seven years later, after they have taken different paths.",the notebook
"comedy, romance",altruistic jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man jane secretly adores.,27 dresses
"comedy, drama, family, music, romance","when miles stewart (ak pop-star hannah montana) gets too caught up in the superstar celebrity lifestyle, her dad decides it is time for a total change of scenery. but sweet nibbled! miles must trade in all the lit and glamour of hollywood for some of' blue jeans on the family farm in tennessee, and question if she can be both miles stewart and hannah montana. with a little help from her friends – and awesome guest stars taylor swift, rascal flats and vinesse williams – will she figure out whether to choose hannah or miles?",hannah montana: the movie
"adventure, animation, comedy, family","the regrets are back! there is tommy the brave one, chuckle the timid one, phil and ll the odd couple, did, and spoiled brat angelic. this time they are breaking havoc in paris, france, where tommy's dad st is summoned after yet another one of his inventions took a dump.",rugrats in paris: the movie
"drama, romance",a troubled man talks to his suicidal sister's psychiatric about their family history and falls in love with her in the process.,the prince of tides
"adventure, drama, romance, war","an epic tale of three brothers and their father living in the remote wilderness of 1900s us and how their lives are affected by nature, history, war, and love.",legends of the fall
"drama, romance","george colonel plays the dry cynical character of ran brigham, an executive who specialized in ""downsizing"". ran lives out of his suitcase, traveling the country for the sole purpose terminating unwanted employees day after day. just as ran is about to reach his life-long goal of the ten million mile frequent ulcer mark some major changes come his way. changes that threaten to crack the cold heartless exterior that is ran brigham.",up in the air
"drama, comedy","66-year-old warren schmidt is a retired insurance salesman and has no particular plans other than to drive around in the motor home his wife insisted they buy. he is not altogether bitter, but not happy either, as everything his wife does annoy him, and he disapproved of the man his daughter is about to marry. when his wife suddenly dies, he sets out to postpone the imminent marriage of his daughter to a man he does not like, while coming with discoveries about his late wife and himself in the process.",about schmidt
"horror, comedy, romance","after a combine becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",warm bodies
"action, thriller, science fiction","in the futuristic action thrilled cooper, time travel will be invented but it will be illegal and only available on the black market. when the mob wants to get rid of someone, they will send their target 30 years into the past where a cooper, a hired gun, like joe is waiting to mop up. joe is getting rich and life is good until the day the mob decides to close the loop, sending back joe's future self for assassination.",looper
"fantasy, comedy, science fiction, romance","after dying before his time, an aspirin comic gets a second shot at life... by being reincarnated as a wealthy but un-liable businessman.",down to earth
"fantasy, drama, comedy, family","babe is a little pig who does not quite know his place in the world. with a bunch of odd friends, like ferdinand the duck who thinks he is a monster and fly the dog he calls mon, babe realizes that he has the makings to become the greatest sheep pig of all time, and farmer forget knows it. with the help of the sheep dogs babe learns that a pig can be anything that he wants to be.",babe
"drama, comedy, romance","after thirty years of marriage, a middle-aged couple attends an intense, week-long counselling session to work on their relationship.",hope springs
"comedy, romance, drama","when sarah marshall dumps aspirin musician peter better for rock star aloud snow, peter's world comes crashing down. his best friend suggests that peter should get away from everything and to fly off to hawaii to escape all his problems. after arriving in hawaii and meeting the beautiful rachel jason, peter is shocked to see not only aloud snow in hawaii, but also sarah marshall.",forgetting sarah marshall
"action, crime",four adopted brothers return to their detroit hometown when their mother is murdered and vow to exact revenge on the tillers.,four brothers
comedy,"a successful, single businessman who dreams of having a baby discovers she is infective and fires a working class woman to be her unlikely harrogate.",baby mama
"drama, romance","birdie print has been humiliated on live television by her best friend, confine, who is been sleeping with birdie's husband, bill. birdie tries starting over with her daughter, service, by returning to her small texas hometown, but she is faced with petty old acquaintances who are thrilled to see birdie unhappy -- except for her friend austin. as he helps birdie get back on her feet, love begins to blossom.",hope floats
comedy,two best friends become rivals when their respective wedding are accidentally booked for the same day.,bride wars
"action, adventure, comedy, thriller","three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. when looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. it revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker d.b. cooper in 1971. they decide to continue his journey, but do not understand the dangers they will soon encounter.",without a paddle
"comedy, fantasy, romance","after total humiliation at her thirteenth birthday party, jena risk wants to just hide until she is thirty. with a little magic, her wish is granted, but it turns out that being thirty is not as always as awesome as she thought it would be!",13 going on 30
"fantasy, comedy, romance",a romantic comedy about a family traveling to the french capital for business. the party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,midnight in paris
"animation, comedy, family, adventure","surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. lucky for him, he stumbled on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - mary's nut store.",the nut job
"crime, drama","a boy named george hung grows up in a struggling family in the 1950's. his mother bags at her husband as he is trying to make a living for the family. it is finally revealed that george's father cannot make a living and the family goes bankrupt. george does not want the same thing to happen to him, and his friend tune, in the 1960's, suggests that he deal marijuana. he is a big hit in california in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. as a result, when released, he gets rich by bringing cocaine to america. however, he soon pays the price.",blow
"romance, drama","a woman finds a romantic letter in a bottle washed ashore and tracks down the author, a widower shipbuilder whose wife died radically early. as a deep and mutual attraction blossoms, the man struggles to make peace with his past so that he can move on and find happiness.",message in a bottle
"science fiction, action, adventure, thriller",cap. kirk and his crew must deal with mr. shock's half brother who kidnap three diplomats and jacks the enterprise in his obsessive search for god.,star trek v: the final frontier
"comedy, drama, family, fantasy","calvin and his friends, who all live in an orphanage, find old shoes with the faded letters my connected to a powerline. one stormy night, they go to get the shoes when calvin and the shoes are struck by lightning. calvin now has unbelievable basketball powers and has the chance to play for the na.",like mike
"comedy, crime","frank drain is persuaded out of retirement to go undercover in a state prison. there he is to find out what top terrorist, rico, has planned for when he escapes. frank's wife, jane, is desperate for a baby.. this adds to frank's problems. a host of cerebritis at the academy awards ceremony are humiliated by frank as he blunders his way trying to foil rico.",the naked gun 33⅓: the final insult
"adventure, action, thriller",a newly developed microchip designed by boris industries for the british government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the go. james bond must find out how and why. his suspicions soon lead him to big industry leader max boris.,a view to a kill
"adventure, animation, comedy, family","cheese-loving eccentric palace and his cunning nine pal, groin, investigate a mystery in nick park's animated adventure, in which the movable inventor and his intrepid up run a business riding the town of garden posts. using only humane methods that turn their home into a halfway house for excited german, the pair stumble upon a mystery involving a voracious vegetarian monster that threatens to ruin the annual verge-growing contest.",the curse of the were-rabbit
"drama, romance",a young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,p.s. i love you
comedy,"shattered allusions are hard to repair -- especially for a good-hearted vera named stripes who is spent his life on a kentucky farm amidst the sorely mistaken notion that he is a debonair thoroughbred. once he faces the fact that his stark stripes mark him as different, he decides he will race anyway. and with help from the young girl who raised him, he just might end up in the winner's circle.",racing stripes
"drama, romance","as a 13-year-old, fledgling writer briony tallish irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",atonement
"comedy, drama, romance","an american girl on vacation in italy finds an unanswered ""letter to juliet"" -- one of thousands of missiles left at the sectional lover's verona courtyard, which are typically answered by a the ""secretaries of juliet"" -- and she goes on a quest to find the lovers reference in the letter.",letters to juliet
"action, thriller, crime","two new york corps get involved in a gang war between members of the yauza, the japanese mania. they arrest one of their tillers and are ordered to escort him back to japan. in japan, however, he manages to escape. as they try to track him down, they get deeper and deeper into the japanese mania scene and they have to learn that they can only win by playing the game the japanese way.",black rain
comedy,"while trying to save their childhood orphanage, more, larry and curly inadvertently stumble into a murder plot and wind up starring in a reality to show.",the three stooges
"romance, fantasy, animation, music","set in a with-century european village, this stop-motion animation feature follows the story of victor, a young man whiskey away to the underwood and wed to a mysterious corpse bride, while his real bride victoria waits benefit in the land of the living.",corpse bride
drama,"in 1966, texas western coach don asking led the first all-black starting line-up for a college basketball team to the can national championship.",glory road
"action, crime, drama, mystery, thriller","a young female foi agent joins a secret via operation to take down a mexican carted boss, a job that ends up pushing her ethical and moral values to the limit.",sicario
"action, drama","billy ""the great"" hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. however, when tragedy strikes, billy hits rock bottom, losing his family, his house and his manager. he soon finds an unlikely savior in tick willis, a former fighter who trains the city's touches amateur boxers. with his future on the line, hope fights to reclaim the trust of those he loves the most.",southpaw
"horror, thriller","after denying a woman the extension she needs to keep her home, loan officer christine brown sees her once-promising life take a startling turn for the worse. christine is convinced she is been cursed by a gypsy, but her boyfriend is skeptically. her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",drag me to hell
"fantasy, drama, romance","after 29-year-old saline recovers from a nearly lethal accident, she inexplicable stops growing older. as the years stretch on and on, saline keeps her secret to herself  until she meets a man who changes her life.",the age of adaline
"comedy, drama, family","""secondhand lions"" follows the comedy adventures of an controverted boy left on the footstep of a pair of reluctant, eccentric great-uncle, whose exotic remembrance stir the boy's spirit and re-dignity the men's lives.",secondhand lions
"drama, romance","a tight-knit group of new york city street dancers, including luke and natalie, team up with ny frenchman loose, and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.",step up 3d
adventure,"nothing gets between anne marie and her board. living in a beach shock with three roommates, she is up before dawn every morning to conquer the waves and count the days until the pipe masters competition. having transplanted herself to hawaii with no one's blessing but her own, anne marie finds all she needs in the adrenalin-charged surf scene - until pro quarterback matt tillman comes along...",blue crush
"comedy, drama, fantasy, romance","everybody knows that your life is a story. but what if a story was your life? harold crack is your average irs agent: monotonous, boring, and repetition. but one day this all changes when harold begins to hear an author inside his head narrating his life. but when the narration reveals he is going to die, harold must find the author and convince them to change the ending.",stranger than fiction
"horror, thriller","this is the story of an isolated alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. as the last rays of light fade, the town is attacked by a bloodthirsty gang of campfires bent on an uninterrupted org of destruction. only the small town's husband-and-wife sheriff team stand between the survivor and certain destruction.",30 days of night
"horror, thriller","five college friends spend the weekend at a remote cabin in the woods, where they get more than they bargained for. together, they must discover the truth behind the cabin in the woods.",the cabin in the woods
comedy,"from the creator of scar movie and date movie comes this tongue-in-cheek party of the sword-and-scandal epics, dubbed meet the spartans. the with century fox production was written and directed by the filmmaking team of jason friedberg and aaron shelter. sure, leonidas may have nothing more than a cape and some leather underwear to protect him from the razor-sharp swords of his persian enemies,",meet the spartans
"adventure, comedy, crime","an accountant embezzles $15 million of mob money, jumps bail and is chased by bounty hunters, the foi, and the mania.",midnight run
"action, science fiction","by 2017, the global economy has collapsed and american society has become a totalitarian police state, censuring all cultural activity. the government pacifier the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style the running man, posted by the ruthless damn million, where “runners” attempt to evade “talkers” and certain death for a chance to be pardoned and set free.",the running man
"horror, comedy, music","seymour reborn is a needy orphan working at mushnik's, a flower shop in urban said row. he harbors a crush on fellow co-worker andrew fulquard, and is belated by mr. mushnik daily. one day as seymour is seeking a new mysterious plant, he finds a very mysterious identified plant which he calls andrew ii. the plant seems to have a craving for blood and soon begins to sing for his supper.",little shop of horrors
"action, thriller, adventure","a 16-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across europe. traced by a ruthless operative, she faces startling revelation about her existence and questions about her humanity.",hanna
"action, fantasy, science fiction","a group of heroic warriors has only six days to save the planet in ""mortal combat annihilating."" to succeed they must survive the most spectacular series of challenges any human, or god, has ever encountered as they battle an evil parlor bent on taking control of earth. sequel to the film ""mortal combat,"" and based on the popular video game.",mortal kombat: annihilation
"comedy, romance, drama","after losing his job, a middle-aged man reinvents himself by going back to college.",larry crowne
"drama, horror","a remaining of the classic horror tale about carried white, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashed telekinetic terror on her small town after being pushed too far at her senior from.",carrie
music,"a former professional dancer volunteers to teach dance in the new york public school system and, while his background first clashes with his students' tastes, together they create a completely new style of dance. based on the story of ballroom dancer, pierre lane.",take the lead
"action, adventure, crime, drama","teenager at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",gridiron gang
"action, comedy",thief even cautery attempts to rob from the home of rich businessman max fairbanks. but fairbanks catches him and steals his cherished ring that his girlfriend gave him. cautery is then bent on revenge and getting his ring back with the help of his partners.,what is the worst that could happen?
"action, adventure, animation, science fiction, thriller","when 9 first comes to life, he finds himself in a post-apocalyptic world. all humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from wearisome machines that roam the earth intent on their extinction. despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",9
"thriller, crime, drama",a woman turns to prescription meditation as a way of handling her anxiety concerning her husband's coming release from prison.,side effects
"comedy, romance","a fairy tale love-story about pre-med student page who falls in love with a danish prince ""eddies"" who refused to follow the traditions of his parents and has come to the us to quench his thirst for rebellion. page and edward come from two different worlds, but there is an undesirable attraction between them.",the prince & me
"animation, family","during an ordinary day in hundred acre wood, wine the pooh sets out to find some honey. misinterpreting a note from christopher robin, pooh convinces bigger, rabbit, paget, owl, anna, room, and before that their young friend has been captured by a creature named ""jackson"" and they set out to save him.",winnie the pooh
comedy,"this way sequel to the 1994 blockbuster goes back to the lame-trained harry and lloyd's days as classmates at a rhode island high school, where the unprincipled principal puts the pair in medial courses as part of a scheme to fleecy the school.",dumb and dumberer: when harry met lloyd
"comedy, drama",a suicidal disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythm and speech of hip-hop music and culture.,bulworth
"drama, music",a chronicle of james brown's rise from extreme poverty to become one of the most influential musicians in history.,get on up
"drama, romance",a career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.,one true thing
"action, crime, science fiction, thriller","the law enforcement technology advancement centre (let) has developed said version 6.7: a sadistic, intelligent, and dangerous virtual reality entity which is synthesized from the personalities of more than 150 aerial tillers, and only one man can stop him.",virtuosity
"fantasy, drama, action, comedy, crime, science fiction","when new york architect matt blunders dumps his new girlfriend jenny johnson - a smart, sex and reluctant superhero known as g-girl - she uses her powers to make his life a living hell!",my super ex-girlfriend
"thriller, crime, horror","when a frightening wave of violence sweeps through new york city, troubled cop archie fails to find a rational explanation for the bizarre crimes. however, his eyes are opened to a frightening alternate reality when renegade jesuit priest, mendota convinces him that demon possession may be to blame for the gruesome murders. together, they wage a valiant supernatural struggle to rid the city of an otherworldly evil.",deliver us from evil
"action, thriller","the 3-d action-thrilled sacrum, from executive producer james cameron, follows a team of underwater cave divers on a treacherous expedition to the largest, most beautiful and least accessible cave system on earth. when a tropical storm forces them deep into the caverns, they must fight raging water, deadly terrain and creeping panic as they search for an unknown escape route to the sea. master river frank mcquire (richard roxburgh) has explored the south pacific's sea-all cases for months. but when his exit is cut off in a flash flood, frank's team--including 17-year-old son jose (rays wakefield) and financier carl hurled (moan gruffudd)--are forced to radically alter plans. with swindling supplies, the crew must navigable an underwater labyrinth to make it out. soon, they are confronted with the unavoidable question: can they survive, or will they be wrapped forever?",sanctum
"comedy, romance, drama","determined to learn about her boyfriend's past relationships, stay -- who works for a talk show -- becomes a bone side stoop. with her colleague, bare, stay gets the names of dere's ex-lovers and interviews them, supposedly for an coming show. but what she learns only adds to her confusion, and her plans begin to unravel when she befriend one of the women.",little black book
comedy,"exactly one year after tom meets violet, he surprise her with a wedding ring. by all accounts, tom and violet are destined for their happily ever after. however, this engaged couple just keep getting tripped up on the long walk down the aisle.",the five-year engagement
"comedy, drama","raging baseball star who goes by the nickname, mr. 3000, finds out many years after retirement that he did not quite reach 3,000 hits. now at age 47 he is back to try and reach that goal.",mr. 3000
"romance, drama, thriller, crime","a married couple's life is turned upside down when the wife is accused of a murder. lata brennan is arrested for murdering her boss with whom she had an argument. it seems she was seen leaving the scene of the crime and her fingerprints were on the murder weapon. her husband, john would spend the next few years trying to get her released, but there is no evidence that gates the evidence against her. and when the strain of being separated from her family, especially her son, gets to her, john decides to break her out. so he does a lot of research to find a way.",the next three days
"science fiction, action, thriller","in the late must century, a subculture of humans have emerged who have been modified genetically by a empire-like disease, giving them enhanced speed, incredible staying and acute intelligence. as they are set apart from ""normal"" and ""healthy"" humans, the world is pushed to the brink of worldwide civil war  aimed at the destruction of the ""diseased"" population. in the middle of this crossed-fire is - an infected woman - ultraviolet, who finds herself protecting a nine-year-old boy who has been marked for death by the human government as he is believed to be a threat to humans.",ultraviolet
thriller,"on new year's eve, inside a police station that is about to be closed for good, officer jake roenick must gobble together a force made up corps and criminals to save themselves from a mob looking to kill monster marion bishop.",assault on precinct 13
"action, drama, crime, thriller","hired assassin john lee is asked by chinatown crime boss terence we to murder the young son of policeman stand zherkov. lee has the boy in his sights, but his conscience gets the better of him, and he spares the child's life. afraid that we will take revenge on his family in china, lee seeks out expert forger meg coburg to obtain the passport he needs to get out of the country, but a band of replacement tillers is soon on his trail.",the replacement killers
"action, comedy, thriller","during a routine prison work detail, convict paper is chained to dodge, a cyberhacker, when bonfire breaks out. apparently, the attack is related to stolen money that the mania is after, and some computer files that somebody wants desperately to bury. the pair, who do not exactly enjoy each other's company, escape and must work together if they are to reach atlanta alive. luckily, they meet a woman who may be willing to help them.",fled
"action, comedy, horror, thriller","the residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to state overnight to the size of sums. it is then up to mining engineer chris mccormick and sheriff sam parker to mobilized an electric group of townspeople, including the sheriff's young son, mike, her daughter, ashes, and paranoid radio announced harlem, into battle against the bloodthirsty eight-legged beasts.",eight legged freaks
"drama, comedy, romance","maggie, an alluring free spirit who will not let anyone - or anything - tie her down. but she meets her match in amie, whose relentless and nearly infallible charm serve him well with the ladies and in the cutthroat world of pharmaceutical sales. maggie and amie's revolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",love & other drugs
"crime, mystery, thriller","""88 minutes"" focused on a college professor (pacing) who moonlight as a forensic psychiatric for the foi and receives a death threat claiming he has only 88 minutes to live.",88 minutes
drama,"a fictionalized account of the first major successful sexual harassment case in the united states -- reason vs. everett mines, where a woman who endured a range of abuse while working as a miner filed and won the landmarks 1984 lawsuit.",north country
"comedy, thriller, crime","jimmy 'the julie' tudeski now spends his days convulsively cleaning his house and perfecting his urinary skill with his wife, will, a supported assassin who has yet to pull off a clean hit. suddenly, an uninvited and unwelcome connection to their past unexpectedly shows up on jimmy and will's footstep; it is oz, and he is begging them to help him rescue his wife, scythia.",the whole ten yards
"horror, thriller, science fiction","else and live, two young rebellious scientists, defy legal and ethical boundaries and forge ahead with a dangerous experiment: placing together human and animal da to create a new organism. named ""drew"", the creature rapidly develops from a deformed female infant into a beautiful but dangerous winged human-chimera, who forges a bond with both of her creator - only to have that bond turn deadly.",splice
"comedy, fantasy, science fiction",a scientific experiment unknowingly brings extraterrestrial life forms to the earth through a laser beam. first is the cigar smoking drake howard from the duck's planet. a few kiss try to keep him from the greedy scientists and help him back to his planet. but then a much less friendly being arrives through the beam...,howard the duck
"thriller, crime, drama","a sage centered on a multi-generation family of new york city police officers. the family's moral codes are tested when ray tierce, investigate a case that reveals an incendiary police corruption scandal involving his own brother-in-law. for ray, the truth is regulatory, a candor's box that threatens to spend not only the tierce legacy but the entire need.",pride and glory
"action, adventure, horror, thriller","after a group of geologists discovers a huge network of unexplored cases in rumania and, believing it to be an undisturbed co-system that has produced a new species, they hire the best american team of underwater cave explorers in the world. while exploring deeper into the underwater cases, a rockslide blocks their exit, and they soon discover a larger carnivorous creature has added them to its food chain.",the cave
